Adjectives_Verbs;Nouns _Dependent;Adjective_Type
fraud*;government bond*;negative
fraud*;government budget;negative
fraud*;import*;negative
fraud*;integration;negative
fraud*;labo(u)r;negative
fraud*;package;negative
fraud*;political unity ;negative
fraud*;program*;negative
fraud*;public sector ;negative
fraud*;public service;negative
fraud*;redistribut*;negative
fraud*;reform*;negative
fraud*;small and medium;negative
fraud*;SME*;negative
fraud*;sovereign bond*;negative
fraud*;state budget ;negative
fraud*;state securit*;negative
fraud*;transmission ;negative
fraud*;wage*;negative
inefficient;bail-out ;negative
inefficient;bailout;negative
inefficient;bond*;negative
inefficient;domestic demand;negative
inefficient;employee*;negative
inefficient;employer*;negative
inefficient;export*;negative
inefficient;fiscal;negative
inefficient;foreign demand;negative
inefficient;fundamental*;negative
inefficient;government balance sheet*;negative
inefficient;government bond*;negative
inefficient;government budget;negative
inefficient;import*;negative
inefficient;integration;negative
inefficient;labo(u)r;negative
inefficient;package;negative
inefficient;political unity ;negative
inefficient;program*;negative
inefficient;public sector ;negative
inefficient;public service;negative
inefficient;redistribut*;negative
inefficient;reform*;negative
inefficient;small and medium;negative
inefficient;SME*;negative
inefficient;sovereign bond*;negative
inefficient;state budget ;negative
inefficient;state securit*;negative
inefficient;transmission ;negative
inefficient;wage*;negative
insufficient ;bail-out ;negative
insufficient ;bailout;negative
insufficient ;bond*;negative
insufficient ;domestic demand;negative
insufficient ;employee*;negative
insufficient ;employer*;negative
insufficient ;export*;negative
insufficient ;fiscal;negative
insufficient ;foreign demand;negative
insufficient ;fundamental*;negative
insufficient ;government balance sheet*;negative
insufficient ;government bond*;negative
insufficient ;government budget;negative
insufficient ;import*;negative
insufficient ;integration;negative
insufficient ;labo(u)r;negative
insufficient ;package;negative
insufficient ;political unity ;negative
insufficient ;program*;negative
insufficient ;public sector ;negative
insufficient ;public service;negative
insufficient ;redistribut*;negative
insufficient ;reform*;negative
insufficient ;small and medium;negative
insufficient ;SME*;negative
insufficient ;sovereign bond*;negative
insufficient ;state budget ;negative
insufficient ;state securit*;negative
insufficient ;transmission ;negative
insufficient ;wage*;negative
involuntary;bail-out ;negative
involuntary;bailout;negative
involuntary;bond*;negative
involuntary;domestic demand;negative
involuntary;employee*;negative
involuntary;employer*;negative
involuntary;export*;negative
involuntary;fiscal;negative
involuntary;foreign demand;negative
involuntary;fundamental*;negative
involuntary;government balance sheet*;negative
involuntary;government bond*;negative
involuntary;government budget;negative
involuntary;import*;negative
involuntary;integration;negative
involuntary;labo(u)r;negative
involuntary;package;negative
involuntary;political unity ;negative
involuntary;program*;negative
involuntary;public sector ;negative
involuntary;public service;negative
involuntary;redistribut*;negative
involuntary;reform*;negative
involuntary;small and medium;negative
involuntary;SME*;negative
involuntary;sovereign bond*;negative
involuntary;state budget ;negative
involuntary;state securit*;negative
involuntary;transmission ;negative
involuntary;wage*;negative
irresponsib*;bail-out ;negative
irresponsib*;bailout;negative
irresponsib*;bond*;negative
irresponsib*;domestic demand;negative
irresponsib*;employee*;negative
irresponsib*;employer*;negative
irresponsib*;export*;negative
irresponsib*;fiscal;negative
irresponsib*;foreign demand;negative
irresponsib*;fundamental*;negative
irresponsib*;government balance sheet*;negative
irresponsib*;government bond*;negative
irresponsib*;government budget;negative
irresponsib*;import*;negative
irresponsib*;integration;negative
irresponsib*;labo(u)r;negative
irresponsib*;package;negative
irresponsib*;political unity ;negative
irresponsib*;program*;negative
irresponsib*;public sector ;negative
irresponsib*;public service;negative
irresponsib*;redistribut*;negative
irresponsib*;reform*;negative
irresponsib*;small and medium;negative
irresponsib*;SME*;negative
irresponsib*;sovereign bond*;negative
irresponsib*;state budget ;negative
irresponsib*;state securit*;negative
irresponsib*;transmission ;negative
irresponsib*;wage*;negative
low*;bail-out ;negative
low*;bailout;negative
low*;bond*;negative
low*;domestic demand;negative
low*;employee*;negative
low*;employer*;negative
low*;export*;negative
low*;fiscal;negative
low*;foreign demand;negative
low*;fundamental*;negative
low*;government balance sheet*;negative
low*;government bond*;negative
low*;government budget;negative
low*;import*;negative
low*;integration;negative
low*;labo(u)r;negative
low*;package;negative
low*;political unity ;negative
low*;program*;negative
low*;public sector ;negative
low*;public service;negative
low*;redistribut*;negative
low*;reform*;negative
low*;small and medium;negative
low*;SME*;negative
low*;sovereign bond*;negative
low*;state budget ;negative
low*;state securit*;negative
low*;transmission ;negative
low*;wage*;negative
meager;bail-out ;negative
meager;bailout;negative
meager;bond*;negative
meager;domestic demand;negative
meager;employee*;negative
meager;employer*;negative
meager;export*;negative
meager;fiscal;negative
meager;foreign demand;negative
meager;fundamental*;negative
meager;government balance sheet*;negative
meager;government bond*;negative
meager;government budget;negative
meager;import*;negative
meager;integration;negative
meager;labo(u)r;negative
meager;package;negative
meager;political unity ;negative
meager;program*;negative
meager;public sector ;negative
meager;public service;negative
meager;redistribut*;negative
meager;reform*;negative
meager;small and medium;negative
meager;SME*;negative
meager;sovereign bond*;negative
meager;state budget ;negative
meager;state securit*;negative
meager;transmission ;negative
meager;wage*;negative
negative;bail-out ;negative
negative;bailout;negative
negative;bond*;negative
negative;domestic demand;negative
negative;employee*;negative
negative;employer*;negative
negative;export*;negative
negative;fiscal;negative
negative;foreign demand;negative
negative;fundamental*;negative
negative;government balance sheet*;negative
negative;government bond*;negative
negative;government budget;negative
negative;import*;negative
negative;integration;negative
negative;labo(u)r;negative
negative;package;negative
negative;political unity ;negative
negative;program*;negative
negative;public sector ;negative
negative;public service;negative
negative;redistribut*;negative
negative;reform*;negative
negative;small and medium;negative
negative;SME*;negative
negative;sovereign bond*;negative
negative;state budget ;negative
negative;state securit*;negative
negative;transmission ;negative
negative;wage*;negative
problem*;bail-out ;negative
problem*;bailout;negative
problem*;bond*;negative
problem*;domestic demand;negative
problem*;employee*;negative
problem*;employer*;negative
problem*;export*;negative
problem*;fiscal;negative
problem*;foreign demand;negative
problem*;fundamental*;negative
problem*;government balance sheet*;negative
problem*;government bond*;negative
problem*;government budget;negative
problem*;import*;negative
problem*;integration;negative
problem*;labo(u)r;negative
problem*;package;negative
problem*;political unity ;negative
problem*;program*;negative
problem*;public sector ;negative
problem*;public service;negative
problem*;redistribut*;negative
problem*;reform*;negative
problem*;small and medium;negative
problem*;SME*;negative
problem*;sovereign bond*;negative
problem*;state budget ;negative
problem*;state securit*;negative
problem*;transmission ;negative
problem*;wage*;negative
restrict*;bail-out ;negative
restrict*;bailout;negative
restrict*;bond*;negative
restrict*;domestic demand;negative
restrict*;employee*;negative
restrict*;employer*;negative
restrict*;export*;negative
restrict*;fiscal;negative
restrict*;foreign demand;negative
restrict*;fundamental*;negative
restrict*;government balance sheet*;negative
restrict*;government bond*;negative
restrict*;government budget;negative
restrict*;import*;negative
restrict*;integration;negative
restrict*;labo(u)r;negative
restrict*;package;negative
restrict*;political unity ;negative
restrict*;program*;negative
restrict*;public sector ;negative
restrict*;public service;negative
restrict*;redistribut*;negative
restrict*;reform*;negative
restrict*;small and medium;negative
restrict*;SME*;negative
restrict*;sovereign bond*;negative
restrict*;state budget ;negative
restrict*;state securit*;negative
restrict*;transmission ;negative
restrict*;wage*;negative
rigid;bail-out ;negative
rigid;bailout;negative
rigid;bond*;negative
rigid;domestic demand;negative
rigid;employee*;negative
rigid;employer*;negative
rigid;export*;negative
rigid;fiscal;negative
rigid;foreign demand;negative
rigid;fundamental*;negative
rigid;government balance sheet*;negative
rigid;government bond*;negative
rigid;government budget;negative
rigid;import*;negative
rigid;integration;negative
rigid;labo(u)r;negative
rigid;package;negative
rigid;political unity ;negative
rigid;program*;negative
rigid;public sector ;negative
rigid;public service;negative
rigid;redistribut*;negative
rigid;reform*;negative
rigid;small and medium;negative
rigid;SME*;negative
rigid;sovereign bond*;negative
rigid;state budget ;negative
rigid;state securit*;negative
rigid;transmission ;negative
rigid;wage*;negative
severe;bail-out ;negative
severe;bailout;negative
severe;bond*;negative
severe;domestic demand;negative
severe;employee*;negative
severe;employer*;negative
severe;export*;negative
severe;fiscal;negative
severe;foreign demand;negative
severe;fundamental*;negative
severe;government balance sheet*;negative
severe;government bond*;negative
severe;government budget;negative
severe;import*;negative
severe;integration;negative
severe;labo(u)r;negative
severe;package;negative
severe;political unity ;negative
severe;program*;negative
severe;public sector ;negative
severe;public service;negative
severe;redistribut*;negative
severe;reform*;negative
severe;small and medium;negative
severe;SME*;negative
severe;sovereign bond*;negative
severe;state budget ;negative
severe;state securit*;negative
severe;transmission ;negative
severe;wage*;negative
shaky ;bail-out ;negative
shaky ;bailout;negative
shaky ;bond*;negative
shaky ;domestic demand;negative
shaky ;employee*;negative
shaky ;employer*;negative
shaky ;export*;negative
shaky ;fiscal;negative
shaky ;foreign demand;negative
shaky ;fundamental*;negative
shaky ;government balance sheet*;negative
shaky ;government bond*;negative
shaky ;government budget;negative
shaky ;import*;negative
shaky ;integration;negative
shaky ;labo(u)r;negative
shaky ;package;negative
shaky ;political unity ;negative
shaky ;program*;negative
shaky ;public sector ;negative
shaky ;public service;negative
shaky ;redistribut*;negative
shaky ;reform*;negative
shaky ;small and medium;negative
shaky ;SME*;negative
shaky ;sovereign bond*;negative
shaky ;state budget ;negative
shaky ;state securit*;negative
shaky ;transmission ;negative
shaky ;wage*;negative
shrink*;bail-out ;negative
shrink*;bailout;negative
shrink*;bond*;negative
shrink*;domestic demand;negative
shrink*;employee*;negative
shrink*;employer*;negative
shrink*;export*;negative
shrink*;fiscal;negative
shrink*;foreign demand;negative
shrink*;fundamental*;negative
shrink*;government balance sheet*;negative
shrink*;government bond*;negative
shrink*;government budget;negative
shrink*;import*;negative
shrink*;integration;negative
shrink*;labo(u)r;negative
shrink*;package;negative
shrink*;political unity ;negative
shrink*;program*;negative
shrink*;public sector ;negative
shrink*;public service;negative
shrink*;redistribut*;negative
shrink*;reform*;negative
shrink*;small and medium;negative
shrink*;SME*;negative
shrink*;sovereign bond*;negative
shrink*;state budget ;negative
shrink*;state securit*;negative
shrink*;transmission ;negative
shrink*;wage*;negative
slim;bail-out ;negative
slim;bailout;negative
slim;bond*;negative
slim;domestic demand;negative
slim;employee*;negative
slim;employer*;negative
slim;export*;negative
slim;fiscal;negative
slim;foreign demand;negative
slim;fundamental*;negative
slim;government balance sheet*;negative
slim;government bond*;negative
slim;government budget;negative
slim;import*;negative
slim;integration;negative
slim;labo(u)r;negative
slim;package;negative
slim;political unity ;negative
slim;program*;negative
slim;public sector ;negative
slim;public service;negative
slim;redistribut*;negative
slim;reform*;negative
slim;small and medium;negative
slim;SME*;negative
slim;sovereign bond*;negative
slim;state budget ;negative
slim;state securit*;negative
slim;transmission ;negative
slim;wage*;negative
slow;bail-out ;negative
slow;bailout;negative
slow;bond*;negative
slow;domestic demand;negative
slow;employee*;negative
slow;employer*;negative
slow;export*;negative
slow;fiscal;negative
slow;foreign demand;negative
slow;fundamental*;negative
slow;government balance sheet*;negative
slow;government bond*;negative
slow;government budget;negative
slow;import*;negative
slow;integration;negative
slow;labo(u)r;negative
slow;package;negative
slow;political unity ;negative
slow;program*;negative
slow;public sector ;negative
slow;public service;negative
slow;redistribut*;negative
slow;reform*;negative
slow;small and medium;negative
slow;SME*;negative
slow;sovereign bond*;negative
slow;state budget ;negative
slow;state securit*;negative
slow;transmission ;negative
slow;wage*;negative
small*;bail-out ;negative
small*;bailout;negative
small*;bond*;negative
small*;domestic demand;negative
small*;employee*;negative
small*;employer*;negative
small*;export*;negative
small*;fiscal;negative
small*;foreign demand;negative
small*;fundamental*;negative
small*;government balance sheet*;negative
small*;government bond*;negative
small*;government budget;negative
small*;import*;negative
small*;integration;negative
small*;labo(u)r;negative
small*;package;negative
small*;political unity ;negative
small*;program*;negative
small*;public sector ;negative
small*;public service;negative
small*;redistribut*;negative
small*;reform*;negative
small*;small and medium;negative
small*;SME*;negative
small*;sovereign bond*;negative
small*;state budget ;negative
small*;state securit*;negative
small*;transmission ;negative
small*;wage*;negative
structural ;bail-out ;negative
structural ;bailout;negative
structural ;bond*;negative
structural ;domestic demand;negative
structural ;employee*;negative
structural ;employer*;negative
structural ;export*;negative
structural ;fiscal;negative
structural ;foreign demand;negative
structural ;fundamental*;negative
structural ;government balance sheet*;negative
structural ;government bond*;negative
structural ;government budget;negative
structural ;import*;negative
structural ;integration;negative
structural ;labo(u)r;negative
structural ;package;negative
structural ;political unity ;negative
structural ;program*;negative
structural ;public sector ;negative
structural ;public service;negative
structural ;redistribut*;negative
structural ;reform*;negative
structural ;small and medium;negative
structural ;SME*;negative
structural ;sovereign bond*;negative
structural ;state budget ;negative
structural ;state securit*;negative
structural ;transmission ;negative
structural ;wage*;negative
struggling;bail-out ;negative
struggling;bailout;negative
struggling;bond*;negative
struggling;domestic demand;negative
struggling;employee*;negative
struggling;employer*;negative
struggling;export*;negative
struggling;fiscal;negative
struggling;foreign demand;negative
struggling;fundamental*;negative
struggling;government balance sheet*;negative
struggling;government bond*;negative
struggling;government budget;negative
struggling;import*;negative
struggling;integration;negative
struggling;labo(u)r;negative
struggling;package;negative
struggling;political unity ;negative
struggling;program*;negative
struggling;public sector ;negative
struggling;public service;negative
struggling;redistribut*;negative
struggling;reform*;negative
struggling;small and medium;negative
struggling;SME*;negative
struggling;sovereign bond*;negative
struggling;state budget ;negative
struggling;state securit*;negative
struggling;transmission ;negative
struggling;wage*;negative
tight;bail-out ;negative
tight;bailout;negative
tight;bond*;negative
tight;domestic demand;negative
tight;employee*;negative
tight;employer*;negative
tight;export*;negative
tight;fiscal;negative
tight;foreign demand;negative
tight;fundamental*;negative
tight;government balance sheet*;negative
tight;government bond*;negative
tight;government budget;negative
tight;import*;negative
tight;integration;negative
tight;labo(u)r;negative
tight;package;negative
tight;political unity ;negative
tight;program*;negative
tight;public sector ;negative
tight;public service;negative
tight;redistribut*;negative
tight;reform*;negative
tight;small and medium;negative
tight;SME*;negative
tight;sovereign bond*;negative
tight;state budget ;negative
tight;state securit*;negative
tight;transmission ;negative
tight;wage*;negative
troubl*;bail-out ;negative
troubl*;bailout;negative
troubl*;bond*;negative
troubl*;domestic demand;negative
troubl*;employee*;negative
troubl*;employer*;negative
troubl*;export*;negative
troubl*;fiscal;negative
troubl*;foreign demand;negative
troubl*;fundamental*;negative
troubl*;government balance sheet*;negative
troubl*;government bond*;negative
troubl*;government budget;negative
troubl*;import*;negative
troubl*;integration;negative
troubl*;labo(u)r;negative
troubl*;package;negative
troubl*;political unity ;negative
troubl*;program*;negative
troubl*;public sector ;negative
troubl*;public service;negative
troubl*;redistribut*;negative
troubl*;reform*;negative
troubl*;small and medium;negative
troubl*;SME*;negative
troubl*;sovereign bond*;negative
troubl*;state budget ;negative
troubl*;state securit*;negative
troubl*;transmission ;negative
troubl*;wage*;negative
unbalance*;bail-out ;negative
unbalance*;bailout;negative
unbalance*;bond*;negative
unbalance*;domestic demand;negative
unbalance*;employee*;negative
unbalance*;employer*;negative
unbalance*;export*;negative
unbalance*;fiscal;negative
unbalance*;foreign demand;negative
unbalance*;fundamental*;negative
unbalance*;government balance sheet*;negative
unbalance*;government bond*;negative
unbalance*;government budget;negative
unbalance*;import*;negative
unbalance*;integration;negative
unbalance*;labo(u)r;negative
unbalance*;package;negative
unbalance*;political unity ;negative
unbalance*;program*;negative
unbalance*;public sector ;negative
unbalance*;public service;negative
unbalance*;redistribut*;negative
unbalance*;reform*;negative
unbalance*;small and medium;negative
unbalance*;SME*;negative
unbalance*;sovereign bond*;negative
unbalance*;state budget ;negative
unbalance*;state securit*;negative
unbalance*;transmission ;negative
unbalance*;wage*;negative
unstable;bail-out ;negative
unstable;bailout;negative
unstable;bond*;negative
unstable;domestic demand;negative
unstable;employee*;negative
unstable;employer*;negative
unstable;export*;negative
unstable;fiscal;negative
unstable;foreign demand;negative
unstable;fundamental*;negative
unstable;government balance sheet*;negative
unstable;government bond*;negative
unstable;government budget;negative
unstable;import*;negative
unstable;integration;negative
unstable;labo(u)r;negative
unstable;package;negative
unstable;political unity ;negative
unstable;program*;negative
unstable;public sector ;negative
unstable;public service;negative
unstable;redistribut*;negative
unstable;reform*;negative
unstable;small and medium;negative
unstable;SME*;negative
unstable;sovereign bond*;negative
unstable;state budget ;negative
unstable;state securit*;negative
unstable;transmission ;negative
unstable;wage*;negative
unsustainable;bail-out ;negative
unsustainable;bailout;negative
unsustainable;bond*;negative
unsustainable;domestic demand;negative
unsustainable;employee*;negative
unsustainable;employer*;negative
unsustainable;export*;negative
unsustainable;fiscal;negative
unsustainable;foreign demand;negative
unsustainable;fundamental*;negative
unsustainable;government balance sheet*;negative
unsustainable;government bond*;negative
unsustainable;government budget;negative
unsustainable;import*;negative
unsustainable;integration;negative
unsustainable;labo(u)r;negative
unsustainable;package;negative
unsustainable;political unity ;negative
unsustainable;program*;negative
unsustainable;public sector ;negative
unsustainable;public service;negative
unsustainable;redistribut*;negative
unsustainable;reform*;negative
unsustainable;small and medium;negative
unsustainable;SME*;negative
unsustainable;sovereign bond*;negative
unsustainable;state budget ;negative
unsustainable;state securit*;negative
unsustainable;transmission ;negative
unsustainable;wage*;negative
urgent*;bail-out ;negative
urgent*;bailout;negative
urgent*;bond*;negative
urgent*;domestic demand;negative
urgent*;employee*;negative
urgent*;employer*;negative
urgent*;export*;negative
urgent*;fiscal;negative
urgent*;foreign demand;negative
urgent*;fundamental*;negative
urgent*;government balance sheet*;negative
urgent*;government bond*;negative
urgent*;government budget;negative
urgent*;import*;negative
urgent*;integration;negative
urgent*;labo(u)r;negative
urgent*;package;negative
urgent*;political unity ;negative
urgent*;program*;negative
urgent*;public sector ;negative
urgent*;public service;negative
urgent*;redistribut*;negative
urgent*;reform*;negative
urgent*;small and medium;negative
urgent*;SME*;negative
urgent*;sovereign bond*;negative
urgent*;state budget ;negative
urgent*;state securit*;negative
urgent*;transmission ;negative
urgent*;wage*;negative
weak*;bail-out ;negative
weak*;bailout;negative
weak*;bond*;negative
weak*;domestic demand;negative
weak*;employee*;negative
weak*;employer*;negative
weak*;export*;negative
weak*;fiscal;negative
weak*;foreign demand;negative
weak*;fundamental*;negative
weak*;government balance sheet*;negative
weak*;government bond*;negative
weak*;government budget;negative
weak*;import*;negative
weak*;integration;negative
weak*;labo(u)r;negative
weak*;package;negative
weak*;political unity ;negative
weak*;program*;negative
weak*;public sector ;negative
weak*;public service;negative
weak*;redistribut*;negative
weak*;reform*;negative
weak*;small and medium;negative
weak*;SME*;negative
weak*;sovereign bond*;negative
weak*;state budget ;negative
weak*;state securit*;negative
weak*;transmission ;negative
weak*;wage*;negative
worse*;bail-out ;negative
worse*;bailout;negative
worse*;bond*;negative
worse*;domestic demand;negative
worse*;employee*;negative
worse*;employer*;negative
worse*;export*;negative
worse*;fiscal;negative
worse*;foreign demand;negative
worse*;fundamental*;negative
worse*;government balance sheet*;negative
worse*;government bond*;negative
worse*;government budget;negative
worse*;import*;negative
worse*;integration;negative
worse*;labo(u)r;negative
worse*;package;negative
worse*;political unity ;negative
worse*;program*;negative
worse*;public sector ;negative
worse*;public service;negative
worse*;redistribut*;negative
worse*;reform*;negative
worse*;small and medium;negative
worse*;SME*;negative
worse*;sovereign bond*;negative
worse*;state budget ;negative
worse*;state securit*;negative
worse*;transmission ;negative
worse*;wage*;negative
